ATC_E53A76
Time-Data=(A2/86400)+25569;Temp;Humi;Vbat
1709336056;20.38;88.83;2514
1709337858;20.26;86.55;2519
1709339661;19.84;87.33;2517
1709341463;19.75;87.54;2513
1709343265;19.63;87.38;2512
1709345067;19.53;87.56;2511
1709346870;19.46;87.68;2512
1709348672;19.4;87.79;2513
1709350474;19.38;87.94;2511
1709352276;19.37;88.01;2509
1709354079;19.36;87.97;2506
1709355881;19.34;87.88;2505
1709357683;19.33;87.77;2508
1709359485;19.32;87.58;2509
1709361285;19.31;87.35;2511
1709363090;19.29;87.21;2510
1709364892;19.38;88.43;2509
1709366692;19.68;88.76;2510
1709368497;19.88;88.87;2510
1709370299;20.09;89.04;2512
1709372101;20.42;88.89;2517
1709373901;21.19;88.3;2527
1709375708;21.8;87.76;2532
1709377511;22.34;87.79;2541
1709379313;22.8;87.48;2547
1709381115;23.05;87.04;2549
1709382917;23.09;86.08;2549
1709384720;23.12;85.3;2550
1709386522;23.21;85;2549
1709388324;23.32;84.59;2549
1709390127;23.37;84.12;2547
1709391929;23.45;83.58;2548
1709393731;23.64;83.1;2552
1709395533;23.87;82.35;2555
1709397336;23.85;81.55;2556
1709399138;23.86;81.07;2555
1709400940;23.72;79.91;2557
1709402742;23.53;79.35;2553
1709404545;23.43;78.76;2548
1709406347;23.37;78.19;2546
1709408147;23.33;77.54;2548
1709409952;23.27;76.85;2547
1709411754;23.19;76.28;2546
1709413556;23.12;75.17;2545
1709415358;23.06;74.35;2543
1709417160;22.48;73.09;2542
1709418963;21.76;73.33;2534
1709420765;21.34;73.95;2526
1709422567;21.07;74.02;2521
1709424369;20.87;73.99;2519
1709426172;20.76;73.94;2520
1709427974;20.62;73.85;2522
1709429776;20.51;73.78;2519
1709431578;20.4;73.61;2516
1709433381;20.34;73.84;2515
1709435183;20.4;74.4;2516
1709436985;20.51;74.87;2517
1709438787;20.51;74.23;2519
1709440590;20.48;74.1;2518
1709442392;20.47;74.04;2519
1709444194;20.46;73.9;2516
1709445996;20.47;73.83;2514
1709447799;20.47;73.62;2515
1709449601;20.47;73.61;2515
1709451403;20.47;73.48;2517
1709453205;20.48;73.38;2518
1709455008;20.47;73.2;2517
1709456810;20.45;72.99;2518
1709458612;20.59;72.63;2518
1709460414;21.4;71.73;2519
1709462217;21.92;70.16;2526
1709464019;22.36;69.42;2529
